Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.685;11.685;11.685;03-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6733;11.6733;11.6733;04-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7060;11.7060;11.7060;05-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6928;11.6928;11.6928;06-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6571;11.6571;11.6571;07-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6799;11.6799;11.6799;10-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6715;11.6715;11.6715;11-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6957;11.6957;11.6957;12-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6970;11.6970;11.6970;13-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6703;11.6703;11.6703;14-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6317;11.6317;11.6317;17-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6187;11.6187;11.6187;18-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5804;11.5804;11.5804;19-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6090;11.6090;11.6090;20-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5708;11.5708;11.5708;21-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5766;11.5766;11.5766;24-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6163;11.6163;11.6163;25-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6663;11.6663;11.6663;26-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6936;11.6936;11.6936;27-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6916;11.6916;11.6916;28-Jul-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7027;11.7027;11.7027;31-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.244;10.244;10.244;03-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2337;10.2337;10.2337;04-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2624;10.2624;10.2624;05-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2508;10.2508;10.2508;06-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2196;10.2196;10.2196;07-Jul-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2396;10.2396;10.2396;10-Jul-2006
