Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.9846;11.9846;11.9846;02-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.9865;11.9865;11.9865;03-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.0105;12.0105;12.0105;04-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.0247;12.0247;12.0247;05-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.007;12.007;12.007;08-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.0344;12.0344;12.0344;09-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.055;12.055;12.055;10-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.0335;12.0335;12.0335;11-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;12.0061;12.0061;12.0061;12-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.9453;11.9453;11.9453;15-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.9311;11.9311;11.9311;16-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.98;11.98;11.98;17-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8781;11.8781;11.8781;18-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8155;11.8155;11.8155;19-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7491;11.7491;11.7491;22-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7628;11.7628;11.7628;23-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7342;11.7342;11.7342;24-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7302;11.7302;11.7302;25-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7571;11.7571;11.7571;26-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7762;11.7762;11.7762;29-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7693;11.7693;11.7693;30-May-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7181;11.7181;11.7181;31-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.6401;10.6401;10.6401;02-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.6417;10.6417;10.6417;03-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.663;10.663;10.663;04-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.6757;10.6757;10.6757;05-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.6599;10.6599;10.6599;08-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.6842;10.6842;10.6842;09-May-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.7026;10.7026;10.7026;10-May-2006
