Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1789;13.1789;13.1789;02-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1735;13.1735;13.1735;05-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1621;13.1621;13.1621;06-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1706;13.1706;13.1706;07-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1966;13.1966;13.1966;08-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1768;13.1768;13.1768;09-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1007;13.1007;13.1007;12-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.0900;13.0900;13.0900;13-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.0879;13.0879;13.0879;14-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1514;13.1514;13.1514;15-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1678;13.1678;13.1678;19-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1746;13.1746;13.1746;20-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.2169;13.2169;13.2169;21-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.2002;13.2002;13.2002;22-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1268;13.1268;13.1268;23-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1454;13.1454;13.1454;26-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.1482;13.1482;13.1482;27-Feb-2007
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.0382;13.0382;13.0382;28-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0356;11.0356;11.0356;02-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0311;11.0311;11.0311;05-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0217;11.0217;11.0217;06-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0289;11.0289;11.0289;07-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0507;11.0507;11.0507;08-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;11.0341;11.0341;11.0341;09-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.9704;10.9704;10.9704;12-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.9614;10.9614;10.9614;13-Feb-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.9596;10.9596;10.9596;14-Feb-2007
