Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6755;11.6755;11.6755;01-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.668;11.668;11.668;02-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6601;11.6601;11.6601;05-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6264;11.6264;11.6264;06-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5889;11.5889;11.5889;07-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5374;11.5374;11.5374;08-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5798;11.5798;11.5798;09-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5571;11.5571;11.5571;12-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.4946;11.4946;11.4946;13-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.4568;11.4568;11.4568;14-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5178;11.5178;11.5178;15-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5548;11.5548;11.5548;16-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5716;11.5716;11.5716;19-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5729;11.5729;11.5729;20-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.5960;11.5960;11.5960;21-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6335;11.6335;11.6335;22-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6480;11.6480;11.6480;23-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6103;11.6103;11.6103;26-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6159;11.6159;11.6159;27-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6179;11.6179;11.6179;28-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6293;11.6293;11.6293;29-Jun-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.6736;11.6736;11.6736;30-Jun-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2857;10.2857;10.2857;01-Jun-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2791;10.2791;10.2791;02-Jun-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2721;10.2721;10.2721;05-Jun-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2425;10.2425;10.2425;06-Jun-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2094;10.2094;10.2094;07-Jun-2006
