Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7069;11.7069;11.7069;01-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7158;11.7158;11.7158;02-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7187;11.7187;11.7187;03-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7186;11.7186;11.7186;04-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7064;11.7064;11.7064;07-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7314;11.7314;11.7314;08-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7578;11.7578;11.7578;09-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.7881;11.7881;11.7881;10-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8200;11.8200;11.8200;11-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8383;11.8383;11.8383;14-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8548;11.8548;11.8548;16-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8591;11.8591;11.8591;17-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8539;11.8539;11.8539;18-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8668;11.8668;11.8668;21-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8659;11.8659;11.8659;22-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8478;11.8478;11.8478;23-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8533;11.8533;11.8533;24-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8590;11.8590;11.8590;25-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8849;11.8849;11.8849;28-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8943;11.8943;11.8943;29-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.9035;11.9035;11.9035;30-Aug-2006
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;11.8850;11.8850;11.8850;31-Aug-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2132;10.2132;10.2132;01-Aug-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2209;10.2209;10.2209;02-Aug-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2235;10.2235;10.2235;03-Aug-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2234;10.2234;10.2234;04-Aug-2006
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.2128;10.2128;10.2128;07-Aug-2006
